title,price_text,price,category,city,location,type_transaction,rooms,post_time,post_date,post_month,post_year,post_day,post_dayofweek,post_weekend,post_hour,post_period,season
À louer – Bureaux neufs S+1 et S+2 à Monastir Centre-Ville,650 DT,650,0,Monastir,Monastir,0,1,2026-02-04 12:37:00,2026-02-04,2,2026,4,2,0,12,Matin,Hiver
S+1 haut standing pour la saison universitaire,850 DT,850,0,Monastir,Monastir,0,1,2025-08-30 10:49:00,2025-08-30,8,2025,30,5,1,10,Matin,Été
à vendre s+3 haut standing directement au promoteur baghdedi,350000 DT,350000,1,Monastir,Bekalta,1,3,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
Appartement s+1 vue sur mer pour vacance d’été à baghdedi,1540 DT,1540,2,Monastir,Bekalta,0,1,2025-06-17 09:41:00,2025-06-17,6,2025,17,1,0,9,Matin,Été
Studio mignon estivale,55 DT,55,0,Monastir,Monastir,0,0,2025-06-10 20:59:00,2025-06-10,6,2025,10,1,0,20,Soir,Été
S+2 à louer pour longue durée,550 DT,550,0,Monastir,Monastir,0,2,2025-05-26 14:58:00,2025-05-26,5,2025,26,0,0,14,Après-midi,Printemps
A vendre S+1 lumineux à Folla Monastir,430000 DT,430000,1,Monastir,Monastir,1,1,2025-05-21 10:18:00,2025-05-21,5,2025,21,2,0,10,Matin,Printemps
À vendre Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,2025-05-21 09:51:00,2025-05-21,5,2025,21,2,0,9,Matin,Printemps
À vendre Superbe S+1 sur mer à Folla Monastir,430000 DT,430000,1,Monastir,Monastir,1,1,2025-05-13 11:02:00,2025-05-13,5,2025,13,1,0,11,Matin,Printemps
À vendre – Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,2025-05-10 11:23:00,2025-05-10,5,2025,10,5,1,11,Matin,Printemps
À vendre – Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,2025-05-06 11:31:00,2025-05-06,5,2025,6,1,0,11,Matin,Printemps
À vendre – S+1 Haut Standing avec Vue Imprenable sur Mer,400000 DT,400000,1,Monastir,Monastir,1,1,2025-04-24 21:01:00,2025-04-24,4,2025,24,3,0,21,Soir,Printemps
A vendre appartement S+3 à Monastir,560000 DT,560000,1,Monastir,Monastir,1,3,2025-02-21 15:26:00,2025-02-21,2,2025,21,4,0,15,Après-midi,Hiver
A louer Appartement S+1 Haut standing,1500 DT,1500,0,Monastir,Monastir,0,1,2025-02-20 20:49:00,2025-02-20,2,2025,20,3,0,20,Soir,Hiver
A vendre un charmant S2 à Folla Monastir,540000 DT,540000,0,Monastir,Monastir,0,2,2025-02-17 14:33:00,2025-02-17,2,2025,17,0,0,14,Après-midi,Hiver
A vendre un charmant S2 à Folla Monastir,540000 DT,540000,1,Monastir,Monastir,1,2,2025-01-16 10:35:00,2025-01-16,1,2025,16,3,0,10,Matin,Hiver
Un studio Sfax,40000 DT,40000,3,Sfax,Sfax Ville,1,0,2025-12-03 09:50:00,2025-12-03,12,2025,3,2,0,9,Matin,Hiver
Appartement s+2,1000 DT,1000,0,Sfax,Route Menzel Chaker,0,2,2025-08-17 21:09:00,2025-08-17,8,2025,17,6,1,21,Soir,Été
A vendre studio A Sfax Rte Sidi Mansour km 1,80000 DT,80000,1,Sfax,Sfax Ville,1,0,2025-06-16 11:48:00,2025-06-16,6,2025,16,0,0,11,Matin,Été
Appartement S+3 Route Sidi Mansour km8,160000 DT,160000,1,Sfax,Sakiet Eddaïer,1,3,2025-01-21 11:06:00,2025-01-21,1,2025,21,1,0,11,Matin,Hiver
À louer S+2 spacieux à Hiboune Mahdia,650 DT,650,0,Mahdia,Mahdia,0,2,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
Appartement s+1 avec piscine en cours de construction,266000 DT,266000,1,Mahdia,Mahdia,1,1,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
appartement s+1 avec piscine a louer en zone touristique,1500 DT,1500,0,Mahdia,Mahdia,0,1,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
Un Bien S+2 à Louer Vue Mer à Corniche Mahdia,1500 DT,1500,0,Mahdia,Mahdia,0,2,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
à louer pour toute l’année s+2 sur la route principale,550 DT,550,0,Mahdia,Mahdia,0,2,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
A louer Appartement s+2 Vue sur Mer à Baghdadi,450 DT,450,0,Mahdia,Mahdia,0,2,2026-01-23 22:51:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
Bien à Vendre S+2 luxe En Cours De Construction à Mahdia,348600 DT,348600,1,Mahdia,Mahdia,1,2,2026-01-23 22:49:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
A louer s+1 appart ‘hôtel Mahdia Beach à Mahdia,1500 DT,1500,0,Mahdia,Mahdia,0,1,2026-01-23 22:49:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
A louer pour Toute l’année s+2 neuf zone touristique,2000 DT,2000,0,Mahdia,Mahdia,0,2,2026-01-23 22:49:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
à vendre s+1 luxe et directement promoteur à mahdia,264000 DT,264000,1,Mahdia,Mahdia,1,1,2026-01-23 22:49:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
bien à vendre s+3 directement promoteur avec piscine à mahdi,602000 DT,602000,1,Mahdia,Mahdia,1,3,2026-01-23 22:49:00,2026-01-23,1,2026,23,4,0,22,Soir,Hiver
à vendre appartement s+3 avec piscine zone touristique,520000 DT,520000,1,Mahdia,Mahdia,1,3,2026-01-23 13:35:00,2026-01-23,1,2026,23,4,0,13,Après-midi,Hiver
à l’année appartement s+2 à hiboune Mahdia,680 DT,680,0,Mahdia,Mahdia,0,2,2026-01-14 12:13:00,2026-01-14,1,2026,14,2,0,12,Matin,Hiver
A louer pour Toute l’année s+2 vue Mer avec parking,1600 DT,1600,0,Mahdia,Mahdia,0,2,2026-01-14 12:13:00,2026-01-14,1,2026,14,2,0,12,Matin,Hiver
a louer appartement s+2 rz fatimides haut standing,650 DT,650,0,Mahdia,Mahdia,0,2,2026-01-14 12:13:00,2026-01-14,1,2026,14,2,0,12,Matin,Hiver
a l’année s+2 sur la route principale à borj arif mahdia,650 DT,650,0,Mahdia,Mahdia,0,2,2026-01-14 12:13:00,2026-01-14,1,2026,14,2,0,12,Matin,Hiver
A vendre s+2 spacieux pied dans l’eau avec parking à mahdia,600000 DT,600000,1,Mahdia,Mahdia,1,2,2025-11-13 15:12:00,2025-11-13,11,2025,13,3,0,15,Après-midi,Automne
A vendre s+3 Haute Standing en plein Zone Touristique mahdia,460000 DT,460000,1,Mahdia,Mahdia,1,3,2025-11-13 15:12:00,2025-11-13,11,2025,13,3,0,15,Après-midi,Automne
a l’année s+2 sur la route principale à borj arif mahdia,700 DT,700,0,Mahdia,Mahdia,0,2,2025-10-07 13:45:00,2025-10-07,10,2025,7,1,0,13,Après-midi,Automne
à louer pour la saison scolaire app s+1 rz fatimides,600 DT,600,0,Mahdia,Mahdia,0,1,2025-10-07 13:45:00,2025-10-07,10,2025,7,1,0,13,Après-midi,Automne
appartement s+2 neuf trés haut standing pour la location,750 DT,750,0,Mahdia,Mahdia,0,2,2025-10-07 13:45:00,2025-10-07,10,2025,7,1,0,13,Après-midi,Automne
a louer s+2 vue mer avec place parking sous sol,1000 DT,1000,0,Mahdia,Mahdia,0,2,2025-10-07 13:45:00,2025-10-07,10,2025,7,1,0,13,Après-midi,Automne
A louer appartement s+1 panorama en plein zone touristique,550 DT,550,0,Mahdia,Mahdia,0,1,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
app s+2 neuf en plein zone touristique à mahdia à louer,700 DT,700,0,Mahdia,Mahdia,0,2,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
a louer appartement s+3 neuf pour l’année scolaire avec park,850 DT,850,0,Mahdia,Mahdia,0,3,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
A l’année s+1 haut standing en plein zone touristique,850 DT,850,0,Mahdia,Mahdia,0,1,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
a louer pour location scolaire s+1 en plein zone touristique,600 DT,600,0,Mahdia,Mahdia,0,1,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer appartement s+2 pour les médecins à mahdia,700 DT,700,0,Mahdia,Mahdia,0,2,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
a louer appartement s+2 rz fatimides haut standing pour l’an,650 DT,650,0,Mahdia,Mahdia,0,2,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
a louer appartement s+2 vue sur mer rz fatimides,600 DT,600,0,Mahdia,Mahdia,0,2,2025-09-10 19:06:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer RDC s+2 en plein zone baghdedi mahdia pour location,450 DT,450,0,Mahdia,Mahdia,0,2,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer appartement s+1 rz ayed proche de la plage à mahdia,500 DT,500,0,Mahdia,Mahdia,0,1,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
A LOUER S+1 APPART ‘hôtel MAHDIA BEACH à MAHDIA,1500 DT,1500,0,Mahdia,Mahdia,0,1,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer appartement s+2 rz l’espadon vue mer,1500 DT,1500,0,Mahdia,Mahdia,0,2,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer s+1 rz les jardins pour l’année scolaire,600 DT,600,0,Mahdia,Mahdia,0,1,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
a louer pour toute l’année s+2 avec parking sous sol,880 DT,880,0,Mahdia,Mahdia,0,2,2025-09-10 19:05:00,2025-09-10,9,2025,10,2,0,19,Soir,Automne
à louer s+2 rz dar fraj pour vacance d’été à mahdia,1300 DT,1300,2,Mahdia,Mahdia,0,2,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
À Vendre Appartement S+4 Pied dans L’eau et vue sur mer,1100000 DT,1100000,1,Mahdia,Mahdia,1,4,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
À Vendre S+2 Neuf Et Vue Sur Mer À Baghdedi Plage,270000 DT,270000,1,Mahdia,Mahdia,1,2,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
pour location de vacance appartement s+2 neuf à mahdia,1960 DT,1960,2,Mahdia,Mahdia,0,2,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
a louer s+2 pour vacance d’été Rz fatimide,1300 DT,1300,2,Mahdia,Mahdia,0,2,2025-07-30 12:45:00,2025-07-30,7,2025,30,2,0,12,Matin,Été
pour vacance d’été s+2 vue sur mer en plein zone touristique,1350 DT,1350,2,Mahdia,Mahdia,0,2,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
à louer RDC s+3 à l’année s+3 à ezzahra mahdia,850 DT,850,0,Mahdia,Mahdia,0,3,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
A LOUER APPARTEMENT S+3 RZ FATIMIDE NEUF A MAHDIA,1600 DT,1600,2,Mahdia,Mahdia,0,3,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
Bien a vendre s+3 avec piscine en plein zone touristique,2900 DT,2900,1,Mahdia,Mahdia,1,3,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
à louer pour vacance s+2 spacieux à hiboune mahdia,1000 DT,1000,2,Mahdia,Mahdia,0,2,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
appartement s+1 de charme rz azur proche de la plage,1100 DT,1100,2,Mahdia,Mahdia,0,1,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
à louer appartement s+2 vue sur mer en zone touristique,1400 DT,1400,2,Mahdia,Mahdia,0,2,2025-07-28 21:53:00,2025-07-28,7,2025,28,0,0,21,Soir,Été
a louer appartement s+1 proche de la mer à mahdia,1100 DT,1100,2,Mahdia,Mahdia,0,1,2025-07-11 17:50:00,2025-07-11,7,2025,11,4,0,17,Après-midi,Été
pour vacance d’été s+2 neuf en plein zone touristique,1700 DT,1700,2,Mahdia,Mahdia,0,2,2025-07-11 17:50:00,2025-07-11,7,2025,11,4,0,17,Après-midi,Été
Pour vacances appartement S+1 RZ Fatimides,850 DT,850,2,Mahdia,Mahdia,0,1,2025-07-11 14:35:00,2025-07-11,7,2025,11,4,0,14,Après-midi,Été
"Appartement S+2 à louer Vue sur mer à Baghdedi, Mahdia",1890 DT,1890,2,Mahdia,Mahdia,0,2,2025-07-11 14:35:00,2025-07-11,7,2025,11,4,0,14,Après-midi,Été
