title,price_text,price,category,city,location,type_transaction,rooms,post_time,post_date,post_month,post_year
À louer – Bureaux neufs S+1 et S+2 à Monastir Centre-Ville,650 DT,650,0,Monastir,Monastir,0,1,2/4/26 12:37,02-04-26,2,2026
S+1 haut standing pour la saison universitaire,850 DT,850,0,Monastir,Monastir,0,1,8/30/25 10:49,08-30-25,8,2025
à vendre s+3 haut standing directement au promoteur baghdedi,350000 DT,350000,1,Monastir,Bekalta,1,3,7/30/25 12:45,07-30-25,7,2025
Appartement s+1 vue sur mer pour vacance d’été à baghdedi,1540 DT,1540,2,Monastir,Bekalta,0,1,6/17/25 9:41,06-17-25,6,2025
Studio mignon estivale,55 DT,55,0,Monastir,Monastir,0,0,6/10/25 20:59,06-10-25,6,2025
S+2 à louer pour longue durée,550 DT,550,0,Monastir,Monastir,0,2,5/26/25 14:58,05-26-25,5,2025
A vendre S+1 lumineux à Folla Monastir,430000 DT,430000,1,Monastir,Monastir,1,1,5/21/25 10:18,05-21-25,5,2025
À vendre Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,5/21/25 9:51,05-21-25,5,2025
À vendre Superbe S+1 sur mer à Folla Monastir,430000 DT,430000,1,Monastir,Monastir,1,1,5/13/25 11:02,05-13-25,5,2025
À vendre – Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,5/10/25 11:23,05-10-25,5,2025
À vendre – Superbe S+1 à Folla Monastir,400000 DT,400000,1,Monastir,Monastir,1,1,5/6/25 11:31,05-06-25,5,2025
À vendre – S+1 Haut Standing avec Vue Imprenable sur Mer,400000 DT,400000,1,Monastir,Monastir,1,1,4/24/25 21:01,04-24-25,4,2025
A vendre appartement S+3 à Monastir,560000 DT,560000,1,Monastir,Monastir,1,3,2/21/25 15:26,02-21-25,2,2025
A louer Appartement S+1 Haut standing,1500 DT,1500,0,Monastir,Monastir,0,1,2/20/25 20:49,02-20-25,2,2025
A vendre un charmant S2 à Folla Monastir,540000 DT,540000,0,Monastir,Monastir,0,2,2/17/25 14:33,02-17-25,2,2025
A vendre un charmant S2 à Folla Monastir,540000 DT,540000,1,Monastir,Monastir,1,2,1/16/25 10:35,01-16-25,1,2025
Un studio Sfax,40000 DT,40000,3,Sfax,Sfax Ville,1,0,12/3/25 9:50,12-03-25,12,2025
Appartement s+2,1000 DT,1000,0,Sfax,Route Menzel Chaker,0,2,8/17/25 21:09,08-17-25,8,2025
A vendre studio A Sfax Rte Sidi Mansour km 1,80000 DT,80000,1,Sfax,Sfax Ville,1,0,6/16/25 11:48,06-16-25,6,2025
Appartement S+3 Route Sidi Mansour km8,160000 DT,160000,1,Sfax,Sakiet Eddaïer,1,3,1/21/25 11:06,01-21-25,1,2025
À louer S+2 spacieux à Hiboune Mahdia,650 DT,650,0,Mahdia,Mahdia,0,2,1/23/26 22:51,01-23-26,1,2026
Appartement s+1 avec piscine en cours de construction,266000 DT,266000,1,Mahdia,Mahdia,1,1,1/23/26 22:51,01-23-26,1,2026
appartement s+1 avec piscine a louer en zone touristique,1500 DT,1500,0,Mahdia,Mahdia,0,1,1/23/26 22:51,01-23-26,1,2026
Un Bien S+2 à Louer Vue Mer à Corniche Mahdia,1500 DT,1500,0,Mahdia,Mahdia,0,2,1/23/26 22:51,01-23-26,1,2026
à louer pour toute l’année s+2 sur la route principale,550 DT,550,0,Mahdia,Mahdia,0,2,1/23/26 22:51,01-23-26,1,2026
A louer Appartement s+2 Vue sur Mer à Baghdadi,450 DT,450,0,Mahdia,Mahdia,0,2,1/23/26 22:51,01-23-26,1,2026
Bien à Vendre S+2 luxe En Cours De Construction à Mahdia,348600 DT,348600,1,Mahdia,Mahdia,1,2,1/23/26 22:49,01-23-26,1,2026
A louer s+1 appart ‘hôtel Mahdia Beach à Mahdia,1500 DT,1500,0,Mahdia,Mahdia,0,1,1/23/26 22:49,01-23-26,1,2026
A louer pour Toute l’année s+2 neuf zone touristique,2000 DT,2000,0,Mahdia,Mahdia,0,2,1/23/26 22:49,01-23-26,1,2026
à vendre s+1 luxe et directement promoteur à mahdia,264000 DT,264000,1,Mahdia,Mahdia,1,1,1/23/26 22:49,01-23-26,1,2026
