category,city,location,type_transaction,rooms,post_month,post_year,price
0,7,62,0,2,2,2026,650
0,7,62,0,2,8,2025,850
3,7,4,1,4,7,2025,350000
2,7,4,0,2,6,2025,1540
0,7,62,0,1,6,2025,55
0,7,62,0,3,5,2025,550
3,7,62,1,2,5,2025,430000
3,7,62,1,2,5,2025,400000
3,7,62,1,2,5,2025,430000
3,7,62,1,2,5,2025,400000
3,7,62,1,2,5,2025,400000
3,7,62,1,2,4,2025,400000
3,7,62,1,4,2,2025,560000
0,7,62,0,2,2,2025,1500
0,7,62,0,3,2,2025,540000
3,7,62,1,3,1,2025,540000
4,9,74,1,1,12,2025,40000
0,9,71,0,3,8,2025,1000
3,9,74,1,1,6,2025,80000
3,9,73,1,4,1,2025,160000
0,4,55,0,3,1,2026,650
3,4,55,1,2,1,2026,266000
0,4,55,0,2,1,2026,1500
0,4,55,0,3,1,2026,1500
0,4,55,0,3,1,2026,550
0,4,55,0,3,1,2026,450
3,4,55,1,3,1,2026,348600
0,4,55,0,2,1,2026,1500
0,4,55,0,3,1,2026,2000
3,4,55,1,2,1,2026,264000
3,4,55,1,4,1,2026,602000
3,4,55,1,4,1,2026,520000
0,4,55,0,3,1,2026,680
0,4,55,0,3,1,2026,1600
0,4,55,0,3,1,2026,650
0,4,55,0,3,1,2026,650
3,4,55,1,3,11,2025,600000
3,4,55,1,4,11,2025,460000
0,4,55,0,3,10,2025,700
0,4,55,0,2,10,2025,600
0,4,55,0,3,10,2025,750
0,4,55,0,3,10,2025,1000
0,4,55,0,2,9,2025,550
0,4,55,0,3,9,2025,700
0,4,55,0,4,9,2025,850
0,4,55,0,2,9,2025,850
0,4,55,0,2,9,2025,600
0,4,55,0,3,9,2025,700
0,4,55,0,3,9,2025,650
0,4,55,0,3,9,2025,600
0,4,55,0,3,9,2025,450
0,4,55,0,2,9,2025,500
0,4,55,0,2,9,2025,1500
0,4,55,0,3,9,2025,1500
0,4,55,0,2,9,2025,600
0,4,55,0,3,9,2025,880
2,4,55,0,3,7,2025,1300
3,4,55,1,5,7,2025,1100000
3,4,55,1,3,7,2025,270000
2,4,55,0,3,7,2025,1960
2,4,55,0,3,7,2025,1300
2,4,55,0,3,7,2025,1350
0,4,55,0,4,7,2025,850
2,4,55,0,4,7,2025,1600
3,4,55,1,4,7,2025,2900
2,4,55,0,3,7,2025,1000
2,4,55,0,2,7,2025,1100
2,4,55,0,3,7,2025,1400
2,4,55,0,2,7,2025,1100
2,4,55,0,3,7,2025,1700
2,4,55,0,2,7,2025,850
2,4,55,0,3,7,2025,1890
2,4,55,0,3,7,2025,1700
2,4,55,0,3,7,2025,1400
2,4,55,0,3,7,2025,1700
2,4,55,0,3,7,2025,1700
2,4,55,0,3,7,2025,1700
0,4,55,0,2,6,2025,160
3,4,55,1,3,6,2025,270000
3,4,55,1,2,6,2025,175000
3,4,55,1,3,6,2025,330000
3,4,55,1,3,6,2025,170000
2,4,55,0,3,6,2025,900
3,4,55,1,3,6,2025,330000
3,4,55,1,2,6,2025,190000
3,4,55,1,2,6,2025,190000
3,4,55,1,2,6,2025,157000
3,4,55,1,2,6,2025,264000
3,4,55,1,3,6,2025,374000
3,4,55,1,4,6,2025,345000
2,4,55,0,3,6,2025,1400
2,4,55,0,3,6,2025,1250
2,4,55,0,3,6,2025,1200
2,4,55,0,2,6,2025,1100
2,4,55,0,3,6,2025,900
2,4,55,0,3,6,2025,1250
2,4,55,0,2,6,2025,800
2,4,55,0,3,6,2025,1300
2,4,55,0,4,6,2025,2940
2,4,55,0,2,6,2025,1100
2,4,55,0,3,6,2025,2450
2,4,55,0,4,6,2025,2240
2,4,55,0,3,6,2025,2800
2,4,55,0,3,6,2025,1500
2,4,55,0,4,6,2025,1100
2,4,55,0,4,6,2025,1400
2,4,55,0,3,6,2025,2200
2,4,55,0,2,6,2025,900
2,4,55,0,2,6,2025,1000
2,4,55,0,3,6,2025,1000
2,4,55,0,3,6,2025,1600
2,4,55,0,3,6,2025,1300
2,4,55,0,2,6,2025,950
2,4,55,0,3,6,2025,1500
2,4,55,0,4,6,2025,1600
2,4,55,0,2,6,2025,850
2,4,55,0,3,6,2025,1400
2,4,55,0,2,6,2025,1250
2,4,55,0,3,6,2025,1750
2,4,55,0,2,6,2025,1000
2,4,55,0,2,6,2025,900
2,4,55,0,3,6,2025,1300
2,4,55,0,2,6,2025,1000
3,2,84,1,5,3,2026,0
0,2,6,0,1,2,2026,700
0,2,6,0,1,1,2026,650
1,2,6,0,1,1,2026,600
1,2,6,0,1,1,2026,600
0,2,6,0,1,1,2026,400
1,2,6,0,1,12,2025,600
0,2,6,0,1,12,2025,80
3,2,6,1,4,11,2025,170000
0,2,6,0,1,10,2025,550
3,2,6,1,3,10,2025,210000
1,2,6,0,3,9,2025,1700
2,2,6,0,3,9,2025,2400
4,2,84,1,1,7,2025,53000
1,2,6,0,1,2,2025,400
3,1,34,1,3,3,2026,135000
0,1,69,0,4,3,2026,950
0,1,69,0,3,3,2026,650
3,1,7,1,3,3,2026,220000
0,1,7,0,3,3,2026,550
4,1,7,1,5,3,2026,420000
3,1,69,1,4,2,2026,130000
4,1,69,1,5,2,2026,750000
3,1,22,1,3,2,2026,110000
3,1,22,1,7,2,2026,250000
1,1,66,0,4,2,2026,1200
3,1,27,1,4,2,2026,305000
4,1,69,1,4,2,2026,590000
0,1,34,0,1,2,2026,55
0,1,34,0,1,2,2026,55
0,1,22,0,3,2,2026,550
3,1,58,1,4,2,2026,325000
3,1,58,1,2,1,2026,164740
3,1,58,1,3,1,2026,273820
3,1,58,1,3,1,2026,278880
3,1,58,1,3,1,2026,268770
3,1,58,1,2,1,2026,172820
3,1,58,1,3,1,2026,275840
3,1,69,1,3,1,2026,110000
4,1,5,1,4,1,2026,530000
0,1,69,0,5,1,2026,1100
4,1,69,1,6,1,2026,1300000
3,1,61,1,3,1,2026,89000
0,1,27,0,3,1,2026,900
4,1,61,1,3,1,2026,255000
3,1,58,1,3,1,2026,210000
3,1,34,1,3,1,2026,220000
0,1,27,0,3,1,2026,850
1,1,66,0,6,11,2025,4500
0,1,22,0,3,11,2025,600
3,1,22,1,3,10,2025,145000
3,1,27,1,3,10,2025,240000
0,1,27,0,2,10,2025,1200
0,1,58,0,1,10,2025,360
3,1,27,1,3,10,2025,165000
0,1,22,0,4,10,2025,1400
3,1,32,1,4,9,2025,200000
3,1,69,1,3,9,2025,0
0,1,66,0,2,9,2025,700
0,1,69,0,4,8,2025,1200
3,1,7,1,3,8,2025,280000
3,1,27,1,4,7,2025,360000
3,1,58,1,3,6,2025,128000
3,1,69,1,3,6,2025,150
0,1,66,0,2,6,2025,750
4,1,66,1,3,6,2025,150000
3,1,66,1,3,6,2025,150000
3,1,27,1,4,6,2025,360000
3,1,27,1,5,6,2025,380000
0,1,66,0,3,5,2025,950
1,1,27,0,4,5,2025,360000
4,1,27,1,5,5,2025,380000
1,1,66,0,5,5,2025,1800
0,1,69,0,3,4,2025,850
3,1,27,1,4,4,2025,280
0,1,22,0,3,3,2025,600
1,1,66,0,4,2,2025,1600
3,5,18,1,2,12,2025,106000
3,5,57,1,4,10,2025,260000
3,5,57,1,4,10,2025,413000
3,5,57,1,4,5,2025,330000
0,5,57,0,3,3,2025,750
1,5,57,0,3,3,2025,950
3,5,57,1,3,3,2025,260000
3,5,68,1,3,3,2025,220000
3,5,57,1,4,3,2025,370000
3,5,57,1,3,3,2025,180000
3,5,57,1,4,3,2025,315000
0,5,57,0,2,2,2025,700
0,5,57,0,2,1,2025,850
0,3,43,0,3,2,2026,450
4,6,21,1,3,12,2025,365000
1,6,20,0,5,11,2025,2500
4,6,20,1,3,8,2025,400000
3,0,25,1,3,3,2026,315000
0,0,25,0,2,3,2026,1000
0,0,25,0,3,3,2026,1400
0,0,59,0,3,3,2026,1700
0,0,25,0,3,3,2026,1200
3,0,25,1,3,3,2026,1600
0,0,25,0,2,3,2026,850
0,0,59,0,2,3,2026,1500
3,0,59,1,4,3,2026,390000
0,0,30,0,2,3,2026,850
3,0,51,1,3,3,2026,630000
0,0,25,0,2,3,2026,1200
0,0,25,0,3,3,2026,1600
0,0,25,0,2,3,2026,1100
3,0,30,1,4,3,2026,355000
0,0,30,0,4,3,2026,1600
3,0,30,1,4,3,2026,380000
0,0,51,0,2,3,2026,450
0,0,51,0,2,3,2026,500
0,0,51,0,3,3,2026,90
1,0,2,0,3,3,2026,85
0,0,25,0,3,3,2026,1600
3,0,25,1,4,3,2026,400000
0,0,25,0,3,3,2026,1700
0,0,59,0,2,3,2026,1500
0,0,25,0,2,3,2026,1000
0,0,59,0,2,3,2026,1100
0,0,25,0,2,3,2026,730
0,0,25,0,3,3,2026,1500
0,0,25,0,3,3,2026,1600
0,0,25,0,2,3,2026,1200
0,0,59,0,3,3,2026,1460
0,0,59,0,2,3,2026,1600
0,0,51,0,4,3,2026,2300
0,0,59,0,3,3,2026,1600
0,0,25,0,2,3,2026,1700
3,0,25,1,4,3,2026,395000
0,0,25,0,2,3,2026,950
0,0,25,0,3,3,2026,1600
3,0,51,1,3,3,2026,465000
4,0,30,1,6,3,2026,1280000
0,0,25,0,2,3,2026,1200
0,0,25,0,2,3,2026,1200
3,0,59,1,5,3,2026,380000
3,0,25,1,3,3,2026,480000
0,0,25,0,4,3,2026,1700
0,0,25,0,4,3,2026,2000
0,0,25,0,2,3,2026,1200
0,0,25,0,2,3,2026,1320
0,0,25,0,3,3,2026,1600
0,0,2,0,1,3,2026,880
1,0,51,0,6,3,2026,3000
4,0,59,1,5,3,2026,1680000
3,0,25,1,5,3,2026,420000
0,0,25,0,3,3,2026,1600
3,0,25,1,2,3,2026,225000
0,0,25,0,3,3,2026,1200
0,0,56,0,3,3,2026,700
1,0,51,0,5,3,2026,3200
0,0,25,0,4,3,2026,470000
3,0,8,1,3,3,2026,170000
3,0,25,1,5,3,2026,570000
0,0,25,0,4,3,2026,2400
0,0,42,0,5,3,2026,1750
0,0,59,0,2,3,2026,1100
0,0,25,0,2,3,2026,1200
3,0,30,1,4,3,2026,406000
1,0,56,0,1,3,2026,600
0,0,56,0,3,3,2026,1300
0,0,2,0,2,3,2026,1200
3,0,25,1,4,3,2026,430000
0,0,59,0,1,3,2026,650
0,0,56,0,3,3,2026,800
3,0,59,1,3,3,2026,0
0,0,25,0,2,3,2026,1050
0,0,59,0,4,3,2026,1900
0,0,2,0,3,3,2026,900
0,0,56,0,4,3,2026,1200
0,0,25,0,2,3,2026,950
0,0,30,0,3,3,2026,600
0,0,2,0,5,3,2026,3800
0,0,25,0,4,3,2026,1500
0,0,51,0,3,3,2026,1600
3,0,51,1,4,3,2026,816000
3,0,51,1,3,3,2026,592000
3,0,8,1,3,3,2026,150000
3,0,30,1,4,3,2026,555000
